chr	start	end	strand	type	transposon	gene_id	gene_name	transcript_id
chr14	85934609	85934711	+	Annotated	LTR|ERV1|LTR12F	ENSG00000258733.7	LINC02328	ENST00000671341.3
chr14	86055484	86055485	-	Predicted	LINE|L2|L2	ENSG00000258912.2	LINC02316	
chr14	87234069	87234072	+	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000258496.1	ENSG00000258496	
chr14	87734297	87734302	-	Annotated	LTR|ERV1|LTR12C	ENSG00000258807.5	ENSG00000258807	ENST00000556168.1
chr14	87872343	87872344	-	Predicted	LTR|ERVL-MaLR|THE1B	ENSG00000258807.5	ENSG00000258807	
chr14	88023776	88023777	-	Predicted	LTR|ERVL|LTR33	ENSG00000258826.6	LINC01147	
chr14	88024519	88024646	+	Annotated	LTR|ERVK|LTR5B	ENSG00000258867.8	HISLA	ENST00000556684.6
chr14	88036903	88036938	+	Annotated	DNA|hAT-Charlie|MER103C	ENSG00000258867.8	HISLA	ENST00000662720.1
chr14	89013386	89013387	+	Annotated	LTR|ERVL-MaLR|MLT1K	ENSG00000283627.1	ENSG00000283627	ENST00000637466.1
chr14	90455116	90455127	-	Annotated	SINE|MIR|MIRb	ENSG00000258678.2	LINC02317	ENST00000555413.1
chr14	90517208	90517209	-	Annotated	DNA|hAT-Charlie|MER20			NR_135274.1
chr14	91244321	91244362	-	Predicted	DNA|hAT-Charlie|MER112	ENSG00000119714.11	GPR68	
chr14	92096925	92096926	-	Predicted	SINE|Alu|AluYk3	ENSG00000066427.25	ATXN3	
chr14	92136628	92136629	+	Predicted	LTR|ERVK|LTR3B	ENSG00000165934.13	CPSF2	
chr14	94051823	94051824	-	Annotated	SINE|MIR|MIRb	ENSG00000089737.18	DDX24	ENST00000553400.1
chr14	96663791	96663792	+	Annotated	LTR|ERVL-MaLR|MLT1J	ENSG00000287350.1	ENSG00000287350	ENST00000664497.1
chr14	97427071	97427112	+	Annotated	LTR|ERVL-MaLR|MLT1B	ENSG00000246084.7	LINC02325	ENST00000655920.1
chr14	97686626	97686658	-	Annotated	LTR|ERVL-MaLR|MSTC	ENSG00000197176.7	LINC02291	ENST00000355909.7
chr15	101189566	101189567	-	Annotated	DNA|hAT-Charlie|MER102a	ENSG00000131873.7	CHSY1	ENST00000561143.1
chr15	101699435	101699436	-	Predicted	LTR|ERVL|HERV16-int	ENSG00000185418.16	TARS3	
chr15	101746451	101746452	+	Predicted	SINE|Alu|AluY	ENSG00000291225.1	ENSG00000291225	
chr15	101807445	101807461	+	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000182854.8	ENSG00000291191.1	
chr15	101961028	101961029	-	Annotated	LINE|L1|L1MB3	ENSG00000259553.6	ENSG00000259553	ENST00000668426.1
chr15	20487579	20487580	-	Predicted	LINE|L1|L1MA3	ENSG00000290376.1	HERC2P3	
chr15	20981824	20981825	+	Predicted	LINE|L2|L2c	ENSG00000258710.8	LINC01193	
chr15	21297828	21297829	-	Annotated	LINE|L1|L1MD2			NR_027053.2
chr15	21555563	21555564	+	Predicted	LINE|L2|L2c	ENSG00000280709.2	LINC02203	
chr15	22672308	22672309	+	Predicted	LINE|L1|L1ME4a	ENSG00000290399.1	ENSG00000290399	
chr15	23419698	23419700	+	Predicted	LTR|ERVL-MaLR|MLT1D	ENSG00000261418.1	HERC2P6	
chr15	23757115	23757116	+	Annotated	LTR|ERV1|LTR12_	ENSG00000286973.1	ENSG00000286973	ENST00000658937.1
chr15	24328175	24328176	+	Predicted	LTR|ERVL|ERVL47-int	ENSG00000259905.7	PWRN1	ENST00000565512.6
chr15	24983556	24983557	+	Predicted	SINE|Alu|AluSx	ENSG00000214265.11	ENSG00000224078.15	
chr15	25039624	25039639	+	Predicted	SINE|Alu|AluY	ENSG00000224078.15	SNHG14	
chr15	25061307	25061308	+	Predicted	LINE|Penelope|Penelope1_Vert	ENSG00000224078.15	SNHG14	
chr15	25115300	25115301	+	Predicted	LTR|ERVL|MER54A	ENSG00000224078.15	SNHG14	
chr15	25636451	25636452	+	Annotated	LTR|ERVK|MER9B	ENSG00000289522.1	ENSG00000289522	ENST00000685955.1
chr15	26518573	26518574	-	Predicted	LTR|ERV1|LTR12	ENSG00000287280.1	ENSG00000287280	
chr15	26790299	26790300	-	Annotated	LTR|ERV1|LTR12_	ENSG00000166206.16	GABRB3	ENST00000557641.5
chr15	27161222	27161319	-	Annotated	LTR|ERVL|LTR40a	ENSG00000228740.3	GABRG3-AS1	ENST00000660679.1
chr15	28745598	28745599	+	Predicted	LINE|L1|L1ME4a	ENSG00000248334.7	ENSG00000290879.1	
chr15	30033562	30033563	-	Predicted	LINE|CR1|X6A_LINE	ENSG00000259647.1	ENSG00000259647	
chr15	30131129	30131130	+	Predicted	LINE|L2|L2c	ENSG00000290997.1	ULK4P3	
chr15	30431770	30431771	-	Predicted	DNA|hAT-Charlie|Charlie10	ENSG00000289083.1	ENSG00000289397.1	
chr15	30534469	30534470	+	Predicted	DNA|hAT-Charlie|Charlie10	ENSG00000178115.12	GOLGA8Q	
chr15	30624548	30624549	+	Annotated	LINE|CR1|L3	ENSG00000285077.4	ENSG00000284906.3	
chr15	30629520	30629521	+	Predicted	SINE|Alu|AluY	ENSG00000284906.3	ENSG00000285077.4	
chr15	30903353	30903358	+	Predicted	DNA|hAT-Blackjack|MER63D	ENSG00000198690.10	FAN1	
chr15	31923438	31923439	+	Annotated	LTR|ERV1|LTR12_	ENSG00000175344.19	CHRNA7	ENST00000635978.1
chr15	32407217	32407218	-	Predicted	LINE|L2|L2c	ENSG00000215304.3	ENSG00000291023.1	
chr15	32575918	32575920	+	Predicted	DNA|hAT-Charlie|Charlie10	ENSG00000261064.1	LINC02256	
chr15	32613815	32613861	+	Annotated	SINE|Alu|AluSg7	ENSG00000288864.1	ARHGAP11A-SCG5	ENST00000689909.1
chr15	32613965	32613966	+	Predicted	LINE|CR1|L3	ENSG00000288864.1	ARHGAP11A-SCG5	
chr15	33128847	33128854	-	Predicted	LTR|ERV1|LTR12_	ENSG00000248905.10	FMN1	
chr15	33209943	33209944	-	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000288726.2	ENSG00000288726	ENST00000689747.2
chr15	33921009	33921010	-	Predicted	SINE|Alu|AluSz	ENSG00000169857.9	AVEN	
chr15	33946909	33946910	-	Predicted	DNA|hAT-Charlie|MER5B	ENSG00000169857.9	AVEN	
chr15	34154830	34154831	-	Annotated	LTR|ERV1|LTR10A	ENSG00000134152.11	KATNBL1	ENST00000560308.5
chr15	34319149	34319150	-	Predicted	SINE|Alu|AluSx	ENSG00000140199.13	SLC12A6	
chr15	34387263	34387264	-	Predicted	SINE|MIR|MIRb	ENSG00000215252.12	GOLGA8B	
chr15	34588433	34588444	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000215252.12	GOLGA8B	
chr15	34588502	34588541	-	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000215252.12	GOLGA8B	ENST00000569100.5
chr15	34964452	34964453	-	Annotated	DNA|hAT-Charlie|MER20B	ENSG00000021776.11	AQR	ENST00000560117.1
chr15	35181799	35181800	+	Annotated	DNA|hAT-Charlie|Charlie29a	ENSG00000259516.2	ANP32AP1	ENST00000560832.1
chr15	35546926	35546927	-	Predicted	LINE|L2|L2a	ENSG00000134146.12	DPH6	
chr15	35547000	35547001	-	Predicted	LINE|L2|L2a	ENSG00000134146.12	DPH6	
chr15	35656230	35656238	+	Predicted	Retroposon|SVA|SVA_F	ENSG00000248079.4	DPH6-DT	
chr15	36252256	36252257	-	Annotated	LTR|ERVL-MaLR|THE1C	ENSG00000259639.6	ENSG00000259639	ENST00000650498.1
chr15	36702050	36702051	+	Annotated	DNA|DNA|MER126	ENSG00000186073.14	CDIN1	ENST00000566932.5
chr15	37984682	37984683	+	Annotated	LTR|ERVL-MaLR|MLT1A0	ENSG00000259225.9	LINC02345	ENST00000558081.3
chr15	38702768	38702769	+	Predicted	LTR|ERVK|LTR22A	ENSG00000175779.5	LINC02694	
chr15	38702873	38702874	+	Annotated	LTR|ERVK|LTR22A	ENSG00000175779.5	LINC02694	ENST00000645416.2
chr15	38886898	38886930	-	Predicted	LTR|ERVL-MaLR|MLT1J2	ENSG00000259345.7	ENSG00000259345	
chr15	39747446	39747447	-	Annotated	LINE|L1|L1M6	ENSG00000150667.8	FSIP1	ENST00000559692.1
chr15	40045962	40045963	+	Predicted	SINE|MIR|MIRb	ENSG00000248508.10	SRP14-DT	
chr15	40508024	40508025	+	Annotated	LINE|L1|L1ME2	ENSG00000259536.5	ENSG00000259536	ENST00000561039.1
chr15	40650127	40650128	+	Annotated	LINE|L2|L2c	ENSG00000137812.21	KNL1	ENST00000532347.1
chr15	40657043	40657044	+	Predicted	LINE|L2|L2	ENSG00000137812.21	KNL1	
chr15	40763040	40763041	+	Predicted	SINE|Alu|AluSp	ENSG00000137880.6	GCHFR	
chr15	40838686	40838687	-	Predicted	LTR|ERVL-MaLR|MLT1G1	ENSG00000261183.7	SPINT1-AS1	
chr15	41117067	41117127	-	Predicted	SINE|Alu|AluJr	ENSG00000128908.19	INO80	
chr15	41154972	41154973	-	Predicted	SINE|Alu|AluSc	ENSG00000128908.19	INO80	
chr15	41308568	41308569	+	Predicted	LINE|L2|L2c	ENSG00000247556.7	OIP5-AS1	
chr15	41402361	41402750	-	Annotated	SINE|Alu|AluSg	ENSG00000137806.10	NDUFAF1	ENST00000560978.2
chr15	41772621	41772625	+	Predicted	SINE|Alu|AluSc5	ENSG00000260814.2	ENSG00000260814	ENST00000607504.1
chr15	42208765	42208766	+	Predicted	DNA|hAT-Charlie|MER5A	ENSG00000261002.5	VPS39-DT	
chr15	42224409	42224410	+	Predicted	LTR|ERVL|MER68B	ENSG00000261002.5	VPS39-DT	
chr15	42273851	42273885	+	Predicted	LINE|CR1|L3	ENSG00000214013.10	GANC	
chr15	42326299	42326300	+	Predicted	SINE|5S-Deu-L2|AmnSINE1	ENSG00000214013.10	GANC	
chr15	42404700	42404895	+	Annotated	DNA|TcMar-Tigger|Tigger14a	ENSG00000092529.25	CAPN3	ENST00000674093.1
chr15	42492842	42492872	+	Annotated	LINE|RTE-BovB|MamRTE1	ENSG00000092531.10	SNAP23	ENST00000568451.5
chr15	42990202	42990203	-	Predicted	SINE|Alu|AluJr	ENSG00000159459.12	UBR1	
chr15	43133115	43133163	+	Annotated	SINE|Alu|AluJo	ENSG00000137842.7	TMEM62	ENST00000569535.5
chr15	43327382	43327383	+	Predicted	DNA|hAT-Charlie|MER3	ENSG00000168803.16	ADAL	
chr15	43333312	43333313	+	Predicted	SINE|Alu|AluJb	ENSG00000168803.16	ADAL	
chr15	43368582	43368583	+	Predicted	LINE|CR1|L3b	ENSG00000137822.13	TUBGCP4	
chr15	43597377	43597378	+	Predicted	SINE|MIR|MIR	ENSG00000237289.10	CKMT1B	
chr15	44549766	44549767	+	Predicted	SINE|Alu|AluSg	ENSG00000104131.13	EIF3J	
chr15	44590527	44590528	-	Annotated	SINE|Alu|FLAM_C	ENSG00000104133.16	SPG11	ENST00000558790.5
chr15	44882618	44882619	-	Annotated	LTR|ERV1|HUERS-P1-int			NR_146393.1
chr15	45022733	45022735	+	Predicted	SINE|Alu|AluY	ENSG00000140263.15	SORD	
chr15	45441807	45441808	-	Annotated	LTR|ERVL|LTR66	ENSG00000259342.1	ENSG00000259342	ENST00000559553.1
chr15	45631148	45631149	+	Annotated	LTR|ERVL-MaLR|THE1A	ENSG00000137767.14	SQOR	ENST00000568606.5
chr15	45645881	45645882	+	Annotated	DNA|hAT-Tip100|Arthur1C	ENSG00000137767.14	SQOR	ENST00000561493.5
chr15	47339067	47339097	+	Annotated	LTR|ERVL|MER21A	ENSG00000137872.17	SEMA6D	ENST00000560636.5
chr15	47605352	47605353	-	Predicted	LTR|ERVL-MaLR|MLT1F1	ENSG00000259588.1	ENSG00000259588	
chr15	48329718	48329719	+	Predicted	SINE|Alu|AluSp	ENSG00000128951.14	DUT	
chr15	48409251	48409252	-	Predicted	LINE|CR1|L3	ENSG00000166147.15	FBN1	
chr15	48646937	48646938	+	Predicted	SINE|MIR|MIRb	ENSG00000259705.1	FBN1-DT	
chr15	48783190	48783191	+	Annotated	DNA|TcMar-Tigger|Tigger8	ENSG00000259670.1	ENSG00000259670	ENST00000558304.1
chr15	48945953	48945954	+	Predicted	DNA|TcMar-Tigger|Tigger15a	ENSG00000259602.1	ENSG00000259602	
chr15	49318890	49318891	+	Predicted	SINE|MIR|MIRb	ENSG00000156958.15	GALK2	
chr15	49606218	49606219	-	Predicted	LINE|L1|L1M3e	ENSG00000166262.16	FAM227B	
chr15	49631002	49631003	+	Predicted	DNA|hAT-Charlie|MER1A	ENSG00000104047.15	DTWD1	
chr15	50359421	50359422	-	Predicted	SINE|Alu|AluSc	ENSG00000104064.18	GABPB1	
chr15	50360299	50360300	-	Predicted	SINE|MIR|MIRb	ENSG00000104064.18	GABPB1	
chr15	50582463	50582469	-	Annotated	LINE|L1|L1MEd	ENSG00000092439.16	TRPM7	ENST00000561443.5
chr15	51338574	51338601	-	Annotated	LTR|ERVL|MER21A	ENSG00000137869.16	CYP19A1	ENST00000396402.6
chr15	51360254	51360255	+	Annotated	LTR|ERV1|HERV17-int	ENSG00000186417.14	GLDN	ENST00000559317.5
chr15	51411178	51411179	+	Predicted	LTR|ERVL|HERV16-int	ENSG00000259678.1	ENSG00000259678	
chr15	51916016	51916017	+	Predicted	LTR|ERVL-MaLR|MLT1A	ENSG00000138594.14	TMOD3	
chr15	52033707	52033708	+	Annotated	LTR|ERVL|MLT2B3	ENSG00000259398.1	ENSG00000259398	ENST00000561207.1
chr15	52100522	52100529	-	Annotated	LTR|ERVL|MER73	ENSG00000259712.1	ENSG00000259712	ENST00000558607.1
chr15	53116365	53116366	+	Annotated	LTR|ERVL-MaLR|MSTD	ENSG00000259237.2	LINC02490	ENST00000559915.1
chr15	53974949	53974968	-	Annotated	LTR|ERVL-MaLR|MLT1F1	ENSG00000259669.6	ENSG00000259669	ENST00000558866.5
chr15	54583902	54583903	+	Predicted	LTR|ERVL|MER73	ENSG00000137766.18	UNC13C	
chr15	55319413	55319414	-	Predicted	DNA|hAT-Charlie|MER102b	ENSG00000069974.17	ENSG00000225973.4	
chr15	56629564	56629592	-	Annotated	DNA|hAT-Charlie|Charlie10a	ENSG00000260392.6	ENSG00000260392	ENST00000562300.5
chr15	57281647	57281648	+	Annotated	DNA|hAT-Charlie|MER1A	ENSG00000140262.18	TCF12	ENST00000561454.1
chr15	57402662	57402663	+	Predicted	LINE|L2|L2a	ENSG00000128849.11	CGNL1	
chr15	57754131	57754132	+	Predicted	LTR|ERVL-MaLR|MLT1A1	ENSG00000255529.9	POLR2M	
chr15	58259050	58259051	-	Annotated	LTR|ERVL-MaLR|MLT1A1	ENSG00000128918.15	ALDH1A2	ENST00000558524.5
chr15	58331629	58331630	-	Annotated	SINE|MIR|MIR	ENSG00000128918.15	ALDH1A2	ENST00000558946.1
chr15	58506979	58506983	-	Predicted	LTR|ERVL-MaLR|THE1C	ENSG00000128918.15	ENSG00000259293.1	
chr15	58865756	58865757	-	Predicted	LTR|ERVL|MER77	ENSG00000259353.1	ENSG00000259353	
chr15	59814889	59814890	-	Predicted	LTR|ERVL|MLT2C1	ENSG00000286495.1	ENSG00000286495	
chr15	60391126	60391151	-	Annotated	SINE|MIR|MIRc	ENSG00000182718.18	ANXA2	ENST00000559350.5
chr15	62186086	62186087	-	Annotated	LTR|ERV1|LTR12C	ENSG00000289571.2	ENSG00000289571	ENST00000685831.2
chr15	62281947	62281948	-	Predicted	LTR|ERVL-MaLR|THE1A	ENSG00000260062.4	GOLGA2P11	
chr15	62425292	62425293	+	Predicted	DNA|hAT-Charlie|MER5B	ENSG00000171914.17	TLN2	
chr15	63943012	63943013	-	Predicted	SINE|MIR|MIRb	ENSG00000035664.11	DAPK2	
chr15	65300617	65300639	-	Annotated	LTR|ERV1|LTR12C	ENSG00000138617.16	PARP16	ENST00000558873.1
chr15	66582177	66582191	+	Annotated	LTR|ERVL-MaLR|THE1A	ENSG00000259471.1	LINC01169	ENST00000558797.1
chr15	67430400	67430401	-	Predicted	LINE|L2|L2b	ENSG00000259673.6	IQCH-AS1	
chr15	67896084	67896085	+	Predicted	LTR|ERV1|MER51E	ENSG00000033800.14	PIAS1	
chr15	68577760	68577761	+	Predicted	SINE|MIR|MIRb	ENSG00000103647.13	CORO2B	
chr15	68928586	68928587	-	Predicted	LTR|ERV1|LTR12C	ENSG00000285919.1	ENSG00000285919	
chr15	69072926	69072941	+	Annotated	LTR|ERVL-MaLR|MLT1F1	ENSG00000212766.9	EWSAT1	ENST00000415504.5
chr15	69337342	69337343	+	Predicted	LTR|ERV1|HUERS-P1-int	ENSG00000137819.14	PAQR5	
chr15	69525805	69525831	+	Annotated	LTR|ERVL-MaLR|MLT1L	ENSG00000245750.11	DRAIC	ENST00000653708.1
chr15	69667617	69667618	+	Annotated	SINE|MIR|MIR3	ENSG00000245750.11	DRAIC	ENST00000662698.2
chr15	70523349	70523351	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000259473.1	LINC02205	
chr15	70586605	70586608	-	Annotated	LTR|ERV1|LTR12C	ENSG00000280639.1	LINC02204	ENST00000630447.1
chr15	71275817	71275819	+	Predicted	LTR|ERVL-MaLR|THE1C	ENSG00000187720.15	THSD4	
chr15	71972206	71972207	+	Annotated	LTR|ERVL|MER21A	ENSG00000261632.1	ENSG00000261632	ENST00000568391.1
chr15	72278867	72278868	+	Annotated	LTR|ERVL-MaLR|MLT1K	ENSG00000261460.1	ENSG00000261460	ENST00000570175.1
chr15	72376419	72376420	-	Annotated	LINE|L2|L2c	ENSG00000213614.11	HEXA	ENST00000569509.5
chr15	72616247	72616248	-	Predicted	LINE|L1|L1M1	ENSG00000259783.6	LINC02259	
chr15	72633406	72633407	-	Predicted	LTR|ERVL-MaLR|THE1C	ENSG00000259783.6	LINC02259	
chr15	72780322	72780334	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000159322.18	ADPGK	
chr15	74174501	74174578	+	Annotated	SINE|MIR|MIR3	ENSG00000129009.13	ISLR	ENST00000395118.1
chr15	74302912	74302913	+	Predicted	SINE|MIR|MIR3	ENSG00000140481.15	CCDC33	
chr15	74350768	74350769	+	Annotated	LTR|ERV1|MER51B	ENSG00000260266.1	PPIAP46	ENST00000564109.1
chr15	74738447	74738448	-	Predicted	LTR|ERVL-MaLR|THE1B	ENSG00000140465.15	CYP1A1	
chr15	75028161	75028164	+	Predicted	LINE|L2|L2c	ENSG00000138621.12	PPCDC	
chr15	75129954	75129955	-	Annotated	LTR|ERVL-MaLR|MLT1H2	ENSG00000288901.1	ENSG00000288901	ENST00000685143.1
chr15	75337806	75337807	+	Predicted	LINE|L2|L2a	ENSG00000140365.16	COMMD4	
chr15	75346955	75347136	+	Annotated	LINE|L2|L2b	ENSG00000140398.14	NEIL1	ENST00000564500.5
chr15	75353154	75353155	+	Annotated	SINE|Alu|AluSq2	ENSG00000140398.14	NEIL1	ENST00000567393.5
chr15	76861943	76861944	-	Annotated	LTR|ERVL-MaLR|THE1C	ENSG00000140386.13	SCAPER	ENST00000538941.6
chr15	77254928	77254929	-	Predicted	LINE|L2|L2a	ENSG00000173517.11	PEAK1	
chr15	78245687	78245690	-	Annotated	LTR|ERV1|LTR12C	ENSG00000103740.10	ACSBG1	ENST00000560817.5
chr15	78660531	78660560	-	Annotated	SINE|MIR|MIRb	ENSG00000117971.12	CHRNB4	ENST00000559849.5
chr15	78847664	78847668	+	Annotated	LTR|ERV1|LTR12C	ENSG00000185787.15	MORF4L1	ENST00000559697.5
chr15	79372581	79372594	-	Annotated	LTR|ERVL-MaLR|THE1B	ENSG00000289561.2	ENSG00000289561	ENST00000685529.2
chr15	79897480	79897481	-	Predicted	DNA|TcMar-Tigger|Tigger3c	ENSG00000136371.11	ENSG00000259332.3	
chr15	80059568	80059778	+	Annotated	LINE|L1|L1MDb	ENSG00000086666.19	ZFAND6	ENST00000613266.4
chr15	80059837	80059934	+	Annotated	LINE|L1|L1MDb			NM_001242913.2
chr15	81159575	81159576	+	Annotated	LTR|ERV1|LTR12C	ENSG00000172349.19	IL16	ENST00000560989.1
chr15	81331745	81331746	+	Predicted	LTR|ERV1|MER50	ENSG00000259343.9	TMC3-AS1	
chr15	81331911	81331912	+	Annotated	LTR|ERV1|MER50	ENSG00000259343.9	TMC3-AS1	ENST00000560851.2
chr15	81427448	81427449	+	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000259543.1	ENSG00000259543	ENST00000559211.1
chr15	81863727	81863728	-	Annotated	LTR|ERVL-MaLR|MLT1A0	ENSG00000259692.6	ENSG00000259692	ENST00000559428.2
chr15	82094008	82094022	+	Predicted	DNA|TcMar-Tigger|Tigger7	ENSG00000259518.2	LINC01583	
chr15	82738615	82738616	-	Annotated	LTR|ERVL-MaLR|MLT1A	ENSG00000259315.1	ACTG1P17	ENST00000560958.1
chr15	83179182	83179183	+	Annotated	LTR|ERVL|LTR53	ENSG00000259986.2	ENSG00000259986	ENST00000702146.1
chr15	83609270	83609271	+	Annotated	DNA|TcMar-Tigger|Tigger15a	ENSG00000140600.17	SH3GL3	ENST00000564054.1
chr15	83945756	83945757	+	Annotated	DNA|hAT-Charlie|MER5A1	ENSG00000156218.13	ADAMTSL3	ENST00000567716.1
chr15	84527195	84527196	-	Predicted	SINE|Alu|AluY	ENSG00000189136.10	ENSG00000259244.1	
chr15	84637172	84637173	+	Predicted	SINE|Alu|AluYh3	ENSG00000176700.23	ENSG00000291159.1	
chr15	84654583	84654584	-	Predicted	DNA|hAT|MER53	ENSG00000177082.13	WDR73	
chr15	85718801	85718802	+	Annotated	SINE|Alu|AluJb	ENSG00000170776.22	AKAP13	ENST00000559820.1
chr15	86109919	86109920	-	Predicted	DNA|hAT-Tip100|Arthur1B	ENSG00000260477.8	LINC01584	
chr15	86110539	86110540	-	Predicted	DNA|TcMar-Tigger|Tigger2a	ENSG00000260477.8	LINC01584	
chr15	86631135	86631136	-	Annotated	LTR|ERV1|MER48	ENSG00000259734.1	ENSG00000259734	ENST00000558699.1
chr15	87038717	87038718	+	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000273540.5	AGBL1	ENST00000560803.2
chr15	87576929	87576930	+	Annotated	LTR|ERVL-MaLR|MSTC	ENSG00000259527.2	LINC00052	ENST00000560153.2
chr15	87703824	87703852	-	Annotated	LTR|ERVL-MaLR|THE1A	ENSG00000259560.2	ENSG00000259560	ENST00000665121.1
chr15	89040998	89041010	+	Annotated	LTR|ERVL-MaLR|MLT1H2			"NM_001416424.1, NM_001416423.1"
chr15	89041223	89041275	+	Annotated	LTR|ERVL-MaLR|MLT1H2	ENSG00000260123.2	CARMAL	ENST00000565938.1
chr15	89226336	89226337	+	Predicted	LTR|ERVL-MaLR|MLT1B	ENSG00000140525.20	FANCI	
chr15	89229838	89229839	+	Predicted	SINE|Alu|AluJb	ENSG00000140525.20	FANCI	
chr15	89633531	89633532	-	Annotated	SINE|MIR|MIRb	ENSG00000166813.17	KIF7	ENST00000677187.1
chr15	90597843	90597875	+	Annotated	LINE|L1|L1M6	ENSG00000140577.17	CRTC3	ENST00000561290.1
chr15	90660215	90660237	+	Annotated	LTR|ERVL-MaLR|MLT1F	ENSG00000245479.3	LINC01585	ENST00000658128.1
chr15	90713299	90713300	-	Predicted	LINE|L2|L2c	ENSG00000259736.1	CRTC3-AS1	
chr15	90902153	90902209	+	Predicted	LINE|L1|L1ME4c	ENSG00000196547.15	MAN2A2	
chr15	90902275	90902479	+	Annotated	LINE|L1|L1ME4c	ENSG00000196547.15	MAN2A2	ENST00000558853.5
chr15	90932806	90932807	-	Predicted	LINE|L2|L2c	ENSG00000184508.12	HDDC3	
chr15	90954460	90954461	+	Predicted	SINE|Alu|AluSz6	ENSG00000166965.13	RCCD1	
chr15	90955796	90955802	+	Annotated	LINE|L2|L2c	ENSG00000166965.13	RCCD1	ENST00000556618.1
chr15	91022766	91022767	+	Annotated	SINE|Alu|AluSx3	ENSG00000278514.1	ENSG00000278514	ENST00000620171.1
chr15	91635909	91635910	+	Predicted	LINE|L2|L2c	ENSG00000258551.7	CRAT37	
chr15	92591524	92591567	+	Annotated	LINE|RTE-X|L4_A_Mam	ENSG00000258676.5	ENSG00000258676	ENST00000671549.1
chr15	92699163	92699164	-	Predicted	LTR|ERV1|MER57A-int	ENSG00000185442.13	FAM174B	
chr15	92710676	92710677	-	Predicted	LTR|ERV1|LTR12C	ENSG00000185442.13	FAM174B	
chr15	92724276	92724277	-	Annotated	LTR|ERVL|LTR33	ENSG00000272298.1	ENSG00000272298	ENST00000554000.2
chr15	93829097	93829098	-	Predicted	LTR|ERVL|LTR32	ENSG00000258754.8	LINC01579	
chr15	93863004	93863110	+	Annotated	LTR|Gypsy?|LTR88a	ENSG00000258476.7	LINC02207	ENST00000659365.2
chr15	93900592	93900605	-	Annotated	LTR|ERV1|MER52A	ENSG00000258754.8	LINC01579	ENST00000557481.6
chr15	94278155	94278156	+	Predicted	LINE|L1|L1M5	ENSG00000140563.16	MCTP2	
chr15	94857010	94857011	-	Annotated	SINE|MIR|MIR	ENSG00000270017.1	ENSG00000270017	ENST00000602330.1
chr15	95047087	95047108	-	Annotated	LTR|ERV1|LTR12	ENSG00000258433.2	ENSG00000258433	ENST00000554649.2
chr15	95493778	95493783	-	Annotated	LTR|ERVL-MaLR|MSTB	ENSG00000258489.4	ENSG00000258489	ENST00000658663.1
chr15	96064356	96064357	-	Annotated	LTR|ERVL|MER77	ENSG00000259702.3	ENSG00000259702	ENST00000558860.2
chr15	97234238	97234293	+	Annotated	LTR|ERV1|LTR12F	ENSG00000259485.2	LINC02253	ENST00000660428.1
chr15	97876289	97876290	+	Annotated	LTR|ERV1|LTR12D	ENSG00000259870.1	ENSG00000259870	ENST00000562480.1
chr15	98103702	98103761	-	Annotated	LTR|ERV1|LTR12C	ENSG00000259611.2	LINC01582	ENST00000660778.1
chr15	98890341	98890342	+	Annotated	LTR|ERV1|MER41A	ENSG00000140443.15	IGF1R	ENST00000558898.1
chr15	98890542	98890543	+	Annotated	LTR|ERV1|MER41A	ENSG00000140443.15	IGF1R	ENST00000560432.1
chr15	99007791	99007792	-	Annotated	LTR|ERV1|LTR12C	ENSG00000183571.11	PGPEP1L	ENST00000535714.2
chr15	99401314	99401315	-	Annotated	LTR|ERVL-MaLR|THE1B	ENSG00000259760.1	ENSG00000259760	ENST00000559569.1
chr15	99929396	99929397	+	Predicted	LTR|ERVL-MaLR|MLT1D	ENSG00000254744.3	ENSG00000254744	
chr16	10138457	10138460	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000183454.18	GRIN2A	
chr16	10428867	10428870	+	Predicted	DNA|hAT-Tip100|Arthur1	ENSG00000166669.14	ATF7IP2	
chr16	10585853	10585859	-	Predicted	SINE|Alu|AluSx1	ENSG00000213853.10	EMP2	
chr16	10671777	10671778	-	Annotated	LTR|ERVL-MaLR|THE1B	ENSG00000153060.8	TEKT5	ENST00000574923.1
chr16	10743362	10743363	+	Predicted	LINE|L1|L1MC4	ENSG00000103274.11	NUBP1	
chr16	10928164	10928165	+	Annotated	SINE|MIR|MIRc	ENSG00000179583.21	CIITA	ENST00000571545.1
chr16	11636376	11636381	-	Annotated	LTR|ERV1|LTR9A1	ENSG00000189067.14	LITAF	ENST00000574848.5
chr16	11741910	11741911	+	Annotated	SINE|Alu|AluSx	ENSG00000262420.3	ENSG00000262420	ENST00000572811.1
chr16	11828798	11828845	-	Annotated	DNA|hAT-Charlie|MER5A	ENSG00000262117.5	BCAR4	ENST00000571259.5
chr16	11956237	11956238	-	Predicted	SINE|MIR|MIRc	ENSG00000234719.9	NPIPB2	
